cgpa,internships,projects,workshops_certifications,aptitude_test_score,soft_skills_rating,extra_curricular_activities,placement_training,ssc_marks,hsc_marks,n_job_applications,personality_type,placement_status,student_id
8.4,2,2,0,74,4.4,Yes,No,79,85,4,2,0,4085
7.6,1,2,1,75,4.3,Yes,Yes,80,67,7,4,1,2992
7.6,1,2,1,61,3.2,No,No,61,57,7,2,0,8623
7.5,1,2,0,78,4.4,Yes,Yes,61,71,7,2,0,8811
8.45,2,3,2,82,4.89,Yes,Yes,75,93,23,3,1,10072
8.1,2,3,2,86,4.8,No,Yes,79,81,11,3,1,9681
7.6,0,2,0,79,3.8,No,Yes,55,63,17,1,0,3208
7.9,1,3,0,85,4.8,Yes,Yes,78,87,18,4,1,8415
8.6,2,3,2,87,4.8,Yes,Yes,77,82,25,3,1,534
6.9,1,3,0,73,4.5,No,No,56,86,20,2,0,9962
8.2,1,1,0,86,4.6,No,Yes,79,61,9,2,0,5019
7.6,0,2,0,72,4.4,No,No,59,61,8,4,1,9352
7.2,0,2,0,77,3.7,No,Yes,55,63,30,1,0,6022
8.3,1,3,2,86,4.8,Yes,Yes,66,88,19,4,1,743
7.8,1,1,1,82,3.9,No,Yes,74,73,15,2,0,2904
8.5,2,3,0,88,4.7,Yes,Yes,74,86,16,3,1,3579
8.0,0,2,2,83,4.6,Yes,Yes,82,78,8,1,0,2271
8.2,2,3,2,89,4.8,Yes,Yes,84,86,28,3,1,3275
6.5,1,1,1,60,4.0,No,No,70,71,19,2,0,2153
7.5,0,1,0,60,3.7,No,No,55,67,9,1,0,1331
8.1,1,2,2,84,4.5,Yes,Yes,78,84,17,4,1,2969
8.1,1,2,0,72,4.5,Yes,Yes,73,70,27,4,1,1806
6.6,1,1,2,67,4.0,No,No,55,67,12,2,0,7954
6.7,1,1,1,75,4.3,No,Yes,65,67,7,2,0,1670
7.4,1,2,2,77,3.7,Yes,Yes,79,88,27,2,0,3140
6.5,1,1,1,64,4.1,No,Yes,59,76,8,2,0,5263
8.3,2,3,2,90,4.8,Yes,Yes,77,85,24,3,1,800
6.5,2,2,1,76,3.9,Yes,Yes,60,68,29,2,0,4640
6.5,1,2,0,86,4.4,Yes,Yes,66,69,26,4,1,5279
7.6,1,1,3,79,4.8,No,Yes,70,66,16,2,0,1085
7.6,0,3,2,83,4.8,No,Yes,76,71,20,4,1,6796
7.9,2,3,2,85,4.4,Yes,Yes,77,82,3,2,1,1370
7.4,0,2,1,83,4.5,Yes,Yes,55,68,29,4,1,1122
6.6,0,1,0,68,3.8,No,No,65,65,5,1,0,4099
7.8,1,1,2,62,3.9,No,No,60,62,20,2,0,2575
8.3,1,1,1,65,4.2,No,No,55,68,25,2,0,9768
7.8,2,3,0,90,4.8,Yes,Yes,78,83,19,2,1,587
8.5,2,3,2,90,4.8,Yes,Yes,82,88,13,3,1,2378
7.8,2,3,2,85,4.6,Yes,Yes,74,87,6,2,0,5462
8.5,2,3,2,90,4.6,Yes,Yes,74,85,20,3,1,4703
8.3,0,3,2,90,4.5,Yes,Yes,74,83,7,4,1,7663
7.4,0,1,1,61,3.8,No,No,62,64,18,1,0,4440
8.1,0,2,2,86,4.6,Yes,Yes,57,79,22,1,0,4961
7.8,0,3,0,89,4.8,Yes,Yes,83,79,13,4,1,8625
7.4,1,1,0,60,3.8,No,No,55,71,12,2,0,24
8.8,2,3,2,90,4.7,Yes,Yes,74,86,30,3,1,7503
7.6,1,2,1,82,4.7,No,Yes,64,65,10,2,0,790
8.3,0,3,0,76,3.9,No,No,57,61,16,1,0,1489
6.5,0,2,1,81,4.8,Yes,Yes,55,69,13,1,0,7360
7.9,1,1,2,90,4.8,Yes,Yes,73,84,7,2,0,1148
8.3,1,2,1,73,4.1,Yes,Yes,63,65,24,2,0,9354
7.59,1,1,1,75,3.93,No,Yes,55,65,17,2,0,10194
6.8,1,1,0,74,4.3,No,Yes,55,66,18,2,0,9075
8.1,0,2,0,73,4.5,No,Yes,55,67,3,1,0,1348
7.5,1,1,0,68,4.1,No,No,55,60,24,2,0,6250
6.5,0,3,1,67,4.1,Yes,Yes,66,83,21,1,0,9781
7.3,1,2,0,76,4.5,No,Yes,60,68,4,2,0,1361
6.5,0,3,2,85,4.7,Yes,No,65,81,17,4,1,606
8.5,2,3,2,88,4.8,Yes,Yes,77,85,16,2,0,2474
8.1,2,3,2,78,4.5,No,Yes,57,68,9,3,1,994
8.0,0,3,1,73,4.8,Yes,Yes,57,64,16,1,0,6922
7.8,1,3,0,88,4.8,Yes,Yes,77,87,21,4,1,1161
8.3,1,3,2,82,4.7,Yes,Yes,66,68,12,4,1,5226
6.5,0,2,0,84,4.8,No,No,68,69,29,1,0,7135
8.4,1,2,0,77,4.1,No,No,56,62,18,2,0,7119
7.4,1,2,0,81,4.3,No,Yes,71,69,20,2,0,6524
8.0,0,3,2,90,4.7,Yes,Yes,71,88,18,4,1,2019
7.4,0,2,1,79,4.6,No,Yes,61,67,26,1,0,4826
8.4,2,3,2,86,4.8,Yes,Yes,74,81,18,3,1,4902
6.5,2,1,0,76,3.7,Yes,Yes,61,73,5,2,0,6201
7.8,0,1,1,60,4.1,No,No,55,68,11,1,0,4314
8.3,1,3,2,90,4.7,Yes,Yes,65,87,17,2,0,3308
8.5,2,3,2,90,4.7,Yes,Yes,84,86,5,3,1,2211
7.9,1,1,1,79,4.1,No,Yes,68,72,22,2,0,1759
8.7,2,3,0,84,4.2,No,Yes,55,65,4,2,0,4158
6.6,1,3,2,90,4.8,Yes,Yes,67,83,16,2,0,1942
6.5,1,1,0,78,4.5,Yes,Yes,55,77,18,2,0,2871
7.8,2,3,0,90,4.7,Yes,Yes,80,78,16,2,1,1693
8.1,2,1,1,81,4.0,Yes,Yes,73,88,8,3,1,5984
7.7,1,3,0,81,4.8,Yes,Yes,79,85,20,4,1,6373
8.3,2,3,2,90,4.8,Yes,Yes,76,80,9,3,1,4340
8.2,2,3,2,86,4.8,Yes,Yes,77,83,30,3,1,8040
8.0,1,2,1,76,4.5,No,Yes,68,75,30,2,0,268
6.5,1,2,2,88,4.7,Yes,Yes,77,69,3,4,1,4825
8.1,1,2,1,83,4.6,No,Yes,82,81,27,2,0,6595
7.3,0,1,1,69,4.6,No,No,58,65,13,1,0,3621
8.9,0,3,2,85,4.6,No,Yes,77,72,16,1,0,1619
7.6,1,3,2,71,4.2,Yes,Yes,72,68,8,2,0,9333
7.5,0,1,0,71,4.1,No,No,60,72,5,1,0,966
6.6,1,2,1,82,4.4,Yes,Yes,74,82,8,2,0,253
7.58,0,3,1,82,4.6,Yes,No,82,63,30,1,0,10165
8.2,2,3,2,85,4.8,Yes,No,78,82,17,3,1,6890
6.5,0,2,1,77,4.8,No,Yes,56,65,12,1,0,51
6.7,0,3,0,77,4.6,No,No,55,64,7,1,0,4520
6.5,1,2,0,71,4.3,No,Yes,55,70,14,2,0,873
7.0,0,1,0,74,4.4,No,No,71,60,28,1,0,9461
7.5,1,2,0,63,3.4,No,Yes,55,68,12,2,0,6075
8.0,1,3,0,90,4.8,Yes,Yes,76,83,7,4,1,6093
7.9,1,3,2,82,4.4,Yes,Yes,80,88,18,2,0,3081
7.5,1,1,1,68,4.6,Yes,Yes,58,66,3,2,0,9606
7.6,0,1,1,71,3.9,No,Yes,66,65,6,1,0,3133
6.5,1,1,0,65,4.5,No,Yes,55,68,10,2,0,1748
6.5,1,1,0,70,4.7,No,Yes,79,64,15,2,0,249
8.2,1,1,0,69,4.5,No,Yes,55,70,17,2,0,8605
8.2,2,1,0,82,4.6,Yes,Yes,74,82,3,3,1,5303
8.2,2,3,2,87,4.8,No,Yes,65,66,13,3,1,7055
6.8,1,1,0,67,4.1,Yes,No,61,71,4,2,0,4393
6.7,1,2,0,77,4.4,No,Yes,58,65,18,2,0,972
8.4,2,3,2,90,4.8,Yes,Yes,76,87,8,3,1,8215
7.8,1,1,0,74,4.5,No,No,55,62,10,2,0,3551
7.7,1,2,1,68,4.5,No,Yes,56,63,24,2,0,6196
6.7,1,1,1,82,4.3,No,Yes,55,65,10,2,0,2895
8.0,1,3,0,81,4.3,Yes,Yes,80,71,22,2,0,8947
6.6,2,2,0,80,4.8,Yes,Yes,57,84,22,2,0,6309
6.5,1,1,0,67,4.3,No,Yes,72,67,12,2,0,8760
8.5,1,3,2,84,4.36,Yes,Yes,83,88,24,4,1,10006
7.7,0,3,2,89,4.4,Yes,Yes,82,85,21,4,1,448
7.5,2,3,0,81,4.8,Yes,Yes,80,80,21,2,1,7404
7.0,1,1,1,68,3.7,No,No,55,68,17,2,0,8065
7.5,1,1,0,75,3.8,No,Yes,55,62,24,2,0,9479
8.2,1,3,2,86,4.4,Yes,Yes,76,65,30,4,1,1671
8.6,2,3,1,86,4.8,Yes,No,77,85,20,3,1,1769
6.8,0,2,1,65,4.8,No,Yes,55,71,21,1,0,5624
6.7,0,1,0,70,4.7,Yes,Yes,61,85,22,4,1,8184
7.9,0,1,0,60,3.4,No,No,64,59,24,1,0,462
8.7,2,3,2,87,4.6,Yes,Yes,77,81,19,3,1,6751
7.4,0,1,1,81,3.5,Yes,Yes,71,65,25,1,0,1878
7.4,1,2,1,68,3.3,No,No,55,67,24,2,0,9716
7.3,1,1,0,74,4.3,No,No,57,69,30,2,0,7284
8.1,1,3,2,90,4.7,Yes,Yes,70,85,29,4,1,377
8.7,2,1,0,90,4.7,Yes,Yes,74,86,3,3,1,411
7.5,0,3,1,78,4.7,Yes,Yes,66,66,6,4,1,9492
7.5,1,3,0,71,4.0,No,No,64,85,20,2,0,3400
6.7,1,1,2,80,4.4,No,Yes,55,64,12,4,1,6326
7.5,1,2,1,71,4.1,No,Yes,58,65,14,2,0,9058
8.5,1,3,2,84,4.6,Yes,Yes,74,85,9,4,1,2679
8.5,2,3,0,85,4.5,Yes,Yes,86,84,9,3,1,8261
8.4,2,3,2,90,4.8,Yes,No,82,81,3,3,1,1865
8.2,1,3,1,80,4.0,No,Yes,58,63,18,2,0,1510
7.6,2,3,1,78,3.8,No,Yes,62,64,26,2,0,9554
7.8,0,2,1,62,3.6,No,No,55,66,13,1,0,8633
7.3,1,2,1,71,4.7,No,No,59,57,7,2,0,275
8.6,0,3,2,90,4.8,Yes,Yes,77,83,3,4,1,2752
7.4,1,2,0,73,3.3,No,Yes,57,66,19,2,0,2587
7.38,1,2,1,73,3.69,No,Yes,61,75,14,2,0,10049
6.7,2,3,0,85,4.4,Yes,Yes,84,83,13,2,1,8392
6.5,1,1,0,66,4.1,No,No,55,62,9,2,0,7883
7.4,1,2,1,72,3.3,Yes,Yes,81,69,15,4,1,2479
8.4,2,3,1,76,4.8,Yes,Yes,56,80,24,2,0,6463
6.9,1,1,0,76,4.0,No,Yes,77,76,8,2,0,7198
7.8,2,1,2,90,4.7,Yes,No,81,85,18,2,1,5158
8.0,1,3,3,90,4.8,Yes,Yes,82,84,18,4,1,2302
6.5,1,1,1,76,4.1,No,Yes,55,58,25,2,0,8041
8.3,1,3,2,88,4.7,Yes,Yes,85,80,15,4,1,6144
6.6,1,1,0,71,3.1,No,Yes,64,67,24,2,0,7258
6.5,0,1,0,64,4.1,No,No,63,70,29,1,0,7967
7.8,1,3,2,88,4.3,Yes,Yes,84,86,24,4,1,9279
7.7,2,3,0,80,4.8,Yes,Yes,73,83,6,2,1,4798
7.3,1,1,0,65,3.3,No,Yes,61,74,23,2,0,6533
7.7,2,2,0,71,4.0,No,Yes,55,72,14,2,1,7378
7.6,1,2,0,88,4.8,No,Yes,57,68,30,2,0,514
7.5,0,2,0,80,4.4,No,Yes,65,68,20,1,0,2708
7.6,1,2,0,83,4.6,No,No,70,68,5,2,0,1403
7.5,1,1,1,70,3.8,No,No,55,63,22,2,0,9396
7.7,2,1,1,90,4.5,Yes,Yes,56,73,7,2,1,922
6.7,2,2,2,78,4.5,Yes,Yes,57,67,29,2,0,6871
8.2,1,2,2,80,4.4,Yes,Yes,68,87,6,4,1,2755
8.3,2,2,1,87,4.5,Yes,Yes,82,80,7,2,0,8535
7.9,2,3,2,90,4.5,Yes,No,84,82,10,2,1,2076
7.3,1,2,1,75,4.6,No,Yes,55,75,10,2,0,475
7.7,1,3,0,90,4.0,Yes,Yes,77,81,30,2,0,4103
7.7,1,2,0,79,4.7,Yes,Yes,79,66,22,4,1,6614
6.5,1,2,1,69,3.8,No,Yes,56,71,9,2,0,8832
6.7,1,2,2,83,4.8,Yes,No,65,80,19,4,1,3509
8.3,2,2,2,90,4.6,Yes,Yes,80,83,16,3,1,8362
7.6,1,1,0,62,4.2,No,Yes,55,80,7,2,0,3108
7.1,1,1,1,76,4.3,No,Yes,78,71,8,2,0,6508
7.6,1,1,0,66,3.7,Yes,Yes,65,60,16,2,0,481
7.6,0,1,0,69,3.1,No,No,60,62,15,1,0,5945
7.7,0,3,0,88,4.8,Yes,Yes,73,77,5,4,1,3152
8.4,2,3,2,90,4.7,Yes,Yes,73,88,28,3,1,3652
7.5,0,1,0,82,4.4,No,Yes,58,85,9,1,0,9101
7.7,2,3,0,90,4.7,Yes,No,88,78,30,2,0,6568
8.1,2,1,0,90,4.5,Yes,Yes,88,84,5,2,0,9000
6.5,2,2,2,80,4.6,Yes,Yes,81,72,25,2,1,7537
7.9,0,1,2,87,4.7,Yes,Yes,89,85,9,1,0,2168
7.9,1,2,0,77,4.2,No,Yes,75,63,3,2,0,7541
